obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,t_max,t_obs_release,dataURL
214654889,4278,"Mingozzi, Matilde",J0944-0038,MIRI/IMAGE,Tracing molecular gas in nearby metal-poor systems: the keys to unlocking star-formation in the early universe,mast:JWST/product/jw04278-o011_t011_miri_f1800w_i2d.jpg,2024-05-13 20:39:35.467,2025-05-14 15:04:26.993,mast:JWST/product/jw04278-o011_t011_miri_f1800w_i2d.fits
264984831,5893,"Kakiichi, Koki",C3D-08_CWEBTILE-5-15,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o008_t008_nircam_clear-f200w_i2d.jpg,2025-05-13 20:14:11.400,2025-05-14 14:00:58.997,mast:JWST/product/jw05893-o008_t008_nircam_clear-f200w_i2d.fits
264984533,5893,"Kakiichi, Koki",C3D-08_CWEBTILE-5-15,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o008_t008_miri_f2100w_i2d.jpg,2025-05-13 20:14:04.103,2025-05-14 13:58:13.987,mast:JWST/product/jw05893-o008_t008_miri_f2100w_i2d.fits
264984529,5893,"Kakiichi, Koki",C3D-08_CWEBTILE-5-15,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o008_t008_miri_f1000w_i2d.jpg,2025-05-13 20:41:26.982,2025-05-14 13:58:13.987,mast:JWST/product/jw05893-o008_t008_miri_f1000w_i2d.fits
264984679,5893,"Kakiichi, Koki",C3D-08_CWEBTILE-5-15,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o008_t008_nircam_clear-f115w_i2d.jpg,2025-05-13 20:41:34.150,2025-05-14 13:58:09.987,mast:JWST/product/jw05893-o008_t008_nircam_clear-f115w_i2d.fits
264984542,5893,"Kakiichi, Koki",C3D-08_CWEBTILE-5-15,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o008_t008_nircam_clear-f356w_i2d.jpg,2025-05-13 20:41:34.150,2025-05-14 13:57:54.991,mast:JWST/product/jw05893-o008_t008_nircam_clear-f356w_i2d.fits
214654404,3195,"de Kleer, Katherine",BIARMIA,MIRI/IMAGE,Are M-Type asteroids the remnant core fragments of the planetesimals?,mast:JWST/product/jw03195-o059_t008_miri_f560w_i2d.jpg,2024-05-13 16:36:26.745,2025-05-14 06:22:37.993,mast:JWST/product/jw03195-o059_t008_miri_f560w_i2d.fits
214654230,4278,"Mingozzi, Matilde",J0944-0038-BKG,MIRI/IMAGE,Tracing molecular gas in nearby metal-poor systems: the keys to unlocking star-formation in the early universe,mast:JWST/product/jw04278-o012_t012_miri_f1130w_i2d.jpg,2024-05-13 22:46:49.764,2025-05-14 05:05:51.003,mast:JWST/product/jw04278-o012_t012_miri_f1130w_i2d.fits
214654227,4278,"Mingozzi, Matilde",J0944-0038-BKG,MIRI/IMAGE,Tracing molecular gas in nearby metal-poor systems: the keys to unlocking star-formation in the early universe,mast:JWST/product/jw04278-o012_t012_miri_f770w_i2d.jpg,2024-05-13 23:09:15.746,2025-05-14 05:05:51.003,mast:JWST/product/jw04278-o012_t012_miri_f770w_i2d.fits
214654229,4278,"Mingozzi, Matilde",J0944-0038-BKG,MIRI/IMAGE,Tracing molecular gas in nearby metal-poor systems: the keys to unlocking star-formation in the early universe,mast:JWST/product/jw04278-o012_t012_miri_f1800w_i2d.jpg,2024-05-13 22:26:28.773,2025-05-14 05:05:51.003,mast:JWST/product/jw04278-o012_t012_miri_f1800w_i2d.fits
